epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.11881,0,7.52947,0,0,0,0,0,0,7.68662,0,0,0,0
2,4.94764,0,7.5621,0,0,0,0,0,0,7.69208,0,1.802e-05,1.802e-05,1.802e-05
3,6.95629,0,7.51262,0,0,0,0,0,0,7.69963,0,3.208e-05,3.208e-05,3.208e-05
4,8.64028,0,7.5222,0,0,0,0,0,0,7.70623,0,4.218e-05,4.218e-05,4.218e-05
5,10.3228,0,7.47262,0,0,0,0,0,0,7.71322,0,4.832e-05,4.832e-05,4.832e-05
6,12.1635,0,7.38088,0,0,0,0,0,0,7.71793,0,5.05e-05,5.05e-05,5.05e-05
7,13.7884,0,7.38808,0,0,0,0,0,0,7.71952,0,4.872e-05,4.872e-05,4.872e-05
8,15.5068,0,7.34613,0,0,0,0,0,0,7.71999,0,4.298e-05,4.298e-05,4.298e-05
9,17.4302,0,7.3287,0,0,0,0,0,0,7.72087,0,3.328e-05,3.328e-05,3.328e-05
10,19.087,0,7.30535,0,0,0,0,0,0,7.72248,0,1.962e-05,1.962e-05,1.962e-05
