epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.0398,0,15.0686,0,0,0,0,0,0,15.3725,0,0,0,0
2,7.29086,0,15.1647,0,0,0,0,0,0,15.3838,0,1.802e-05,1.802e-05,1.802e-05
3,10.6422,0,15.065,0,0,0,0,0,0,15.3949,0,3.208e-05,3.208e-05,3.208e-05
4,13.931,0,14.9841,0,0,0,0,0,0,15.4053,0,4.218e-05,4.218e-05,4.218e-05
5,17.3207,0,14.8664,0,0,0,0,0,0,15.4163,0,4.832e-05,4.832e-05,4.832e-05
6,21.8206,0,14.786,0,0,0,0,0,0,15.4249,0,5.05e-05,5.05e-05,5.05e-05
7,25.5365,0,14.7202,0,0,0,0,0,0,15.4308,0,4.872e-05,4.872e-05,4.872e-05
8,28.6111,0,14.7057,0,0,0,0,0,0,15.431,0,4.298e-05,4.298e-05,4.298e-05
9,31.81,0,14.6556,0,0,0,0,0,0,15.4308,0,3.328e-05,3.328e-05,3.328e-05
10,34.9716,0,14.5908,0,0,0,0,0,0,15.4317,0,1.962e-05,1.962e-05,1.962e-05
